data,arrecadacao
2004-01-01,25927.005458999996
2004-02-01,21519.053577
2004-03-01,23391.923996999998
2004-04-01,25041.096857999994
2004-05-01,23455.595481999997
2004-06-01,25232.808542
2004-07-01,25512.063337
2004-08-01,24534.424736
2004-09-01,25484.456127
2004-10-01,25958.017393
2004-11-01,23651.099860000002
2004-12-01,30632.510862000003
2005-01-01,29382.547792000005
2005-02-01,24335.462696000006
2005-03-01,27121.997156
2005-04-01,29532.018943
2005-05-01,26141.270396999997
2005-06-01,30823.352682
2005-07-01,29127.113942999997
2005-08-01,28179.571669999998
2005-09-01,27590.974013999996
2005-10-01,29570.257083
2005-11-01,28938.431578000003
2005-12-01,36212.194302
2006-01-01,31256.474239999996
2006-02-01,26614.681204999997
2006-03-01,28375.151347000003
2006-04-01,31946.490348
2006-05-01,27658.830315
2006-06-01,33006.263541
2006-07-01,30745.158449
2006-08-01,29571.876726999995
2006-09-01,32291.079395000004
2006-10-01,32738.916374999997
2006-11-01,29983.510008
2006-12-01,38117.485098
2007-01-01,35858.851687999995
2007-02-01,29803.633606999996
2007-03-01,32837.186311
2007-04-01,37070.77826800001
2007-05-01,32668.394585999995
2007-06-01,36206.864352
2007-07-01,35441.90984099999
2007-08-01,34713.42806
2007-09-01,35145.903373
2007-10-01,38932.876669000005
2007-11-01,38549.990697
2007-12-01,44051.920178
2008-01-01,45624.46625583
2008-02-01,33957.48404459
2008-03-01,36649.14952261
2008-04-01,42248.4299405
2008-05-01,35375.01865335
2008-06-01,40251.07844304
2008-07-01,42685.07144013
2008-08-01,37962.91587794
2008-09-01,39487.70907779
2008-10-01,45602.284151
2008-11-01,38567.69976383
2008-12-01,41313.45519564001
2009-01-01,43883.52193676
2009-02-01,29907.37451299
2009-03-01,36835.70463218001
2009-04-01,39888.15735566
2009-05-01,33123.40652797999
2009-06-01,37263.024570240006
2009-07-01,39932.420678500006
2009-08-01,35249.832407780006
2009-09-01,34593.84186772
2009-10-01,48657.49110629
2009-11-01,48006.70786593001
2009-12-01,43680.144864990005
2010-01-01,51861.17685430001
2010-02-01,35224.23439029999
2010-03-01,40469.61396549
2010-04-01,48831.0256054
2010-05-01,41050.62656302001
2010-06-01,41863.97748619
2010-07-01,45624.33693492
2010-08-01,42213.89428641999
2010-09-01,43245.42867891
2010-10-01,51615.32724845
2010-11-01,45521.056269299996
2010-12-01,57820.19509168
2011-01-01,66384.65823017001
2011-02-01,43568.55184899
2011-03-01,49903.985940930004
2011-04-01,59050.54668053
2011-05-01,49064.16691746
2011-06-01,59579.50988173
2011-07-01,63143.84619099999
2011-08-01,51400.025287879995
2011-09-01,50767.86827439
2011-10-01,61375.664928549995
2011-11-01,54577.76253774001
2011-12-01,58524.48199251
2012-01-01,73332.09841049
2012-02-01,49528.059998599994
2012-03-01,55966.613001130005
2012-04-01,62874.46775676999
2012-05-01,51931.71318567001
2012-06-01,55372.958076120005
2012-07-01,57733.140582039996
2012-08-01,50602.67515833
2012-09-01,52393.56961284
2012-10-01,60411.315914430015
2012-11-01,57072.61099747001
2012-12-01,62548.39032399
2013-01-01,83846.11060876999
2013-02-01,49664.41907762
2013-03-01,52759.240199809996
2013-04-01,67024.27687469
2013-05-01,60090.30676797
2013-06-01,58030.331471879996
2013-07-01,62626.53636982999
2013-08-01,55125.32706518
2013-09-01,55517.58768599999
2013-10-01,67375.178743
2013-11-01,82983.56116599998
2013-12-01,73198.57142200001
2014-01-01,88417.49422300002
2014-02-01,53731.28142199999
2014-03-01,57702.606262
2014-04-01,72051.125135
2014-05-01,57892.02532500001
2014-06-01,61154.14358999999
2014-07-01,64639.89267500001
2014-08-01,63036.382318
2014-09-01,59626.555862999994
2014-10-01,70700.29370899999
2014-11-01,72134.955996
2014-12-01,67870.385916
2015-01-01,90401.57388
2015-02-01,60416.769226
2015-03-01,63983.500304
2015-04-01,76487.83578100002
2015-05-01,60779.476525
2015-06-01,66283.91597859
2015-07-01,71280.95017081
2015-08-01,62987.279278350004
2015-09-01,64699.18773318
2015-10-01,70239.58707214001
2015-11-01,64880.133882780014
2015-12-01,74403.30250605001
2016-01-01,95278.45442394001
2016-02-01,57208.29843993001
2016-03-01,64651.40690690999
2016-04-01,79122.10119848
2016-05-01,62658.41455001
2016-06-01,65766.04688531
2016-07-01,73016.93523118
2016-08-01,59639.21828905
2016-09-01,63282.33487672
2016-10-01,116084.2482345
2016-11-01,69118.42849146
2016-12-01,77436.95186016001
2017-01-01,100148.0148857
2017-02-01,60271.21021128
2017-03-01,66180.97178125
2017-04-01,81104.88495157001
2017-05-01,64408.96277946001
2017-06-01,70492.98661866
2017-07-01,73068.61201083002
2017-08-01,69546.52145355001
2017-09-01,71386.20537058
2017-10-01,82264.79702333
2017-11-01,80051.39221398001
2017-12-01,84362.41914551
2018-01-01,113487.90005587
2018-02-01,70991.13408127
2018-03-01,71996.07991411
2018-04-01,89475.14444117
2018-05-01,70993.24735883
2018-06-01,75584.60472582001
2018-07-01,85761.28377998002
2018-08-01,73320.79060836001
2018-09-01,74954.67055287001
2018-10-01,86573.44588145001
2018-11-01,82794.05363582
2018-12-01,85836.5459624
2019-01-01,115156.05986841001
2019-02-01,79227.85759156998
2019-03-01,74780.33976501001
2019-04-01,94012.35218009
2019-05-01,76280.08521395
2019-06-01,81062.51563716002
2019-07-01,93835.8523497
2019-08-01,83194.34127984998
2019-09-01,77513.17061187
2019-10-01,90010.84922597
2019-11-01,87895.45366464001
2019-12-01,88814.82909649
