data,estado,arrecadacao
2004-01-01,AC,8.540138
2004-01-01,AL,46.646041
2004-01-01,AP,10.379954
2004-01-01,AM,236.111268
2004-01-01,BA,407.403246
2004-01-01,CE,211.996585
2004-01-01,DF,2571.340909
2004-01-01,ES,273.036154
2004-01-01,GO,203.477814
2004-01-01,MA,55.112612
2004-01-01,MT,92.414995
2004-01-01,MS,72.822192
2004-01-01,MG,1351.65204
2004-01-01,PA,134.645878
2004-01-01,PB,74.3727
2004-01-01,PR,1107.40525
2004-01-01,PE,284.574051
2004-01-01,PI,47.941844
2004-01-01,RJ,5131.61791
2004-01-01,RN,53.680992
2004-01-01,RS,1352.632479
2004-01-01,RO,37.823663
2004-01-01,RR,7.55103
2004-01-01,SC,519.297959
2004-01-01,SP,11572.066516
2004-01-01,SE,47.565852
2004-01-01,TO,14.895387
2004-02-01,AC,7.151751
2004-02-01,AL,31.037011
2004-02-01,AM,201.694897
2004-02-01,AP,6.815505
2004-02-01,BA,324.868934
2004-02-01,CE,155.282736
2004-02-01,DF,2134.171642
2004-02-01,ES,248.090868
2004-02-01,GO,147.572527
2004-02-01,MA,49.227806
2004-02-01,MG,976.447813
2004-02-01,MS,51.215788
2004-02-01,MT,69.207895
2004-02-01,PA,130.32235
2004-02-01,PB,55.163921
2004-02-01,PE,273.051081
2004-02-01,PI,27.820784
2004-02-01,PR,826.036439
2004-02-01,RJ,4898.544264
2004-02-01,RN,37.424834
2004-02-01,RO,36.259941
2004-02-01,RR,5.252697
2004-02-01,RS,1053.903763
2004-02-01,SC,413.446756
2004-02-01,SE,41.406266
2004-02-01,SP,9307.155254
2004-02-01,TO,10.480054
2004-03-01,AC,7.022657
2004-03-01,AL,32.247905
2004-03-01,AM,329.198331
2004-03-01,AP,7.786585
2004-03-01,BA,468.961014
2004-03-01,CE,177.695251
2004-03-01,DF,2631.957881
2004-03-01,ES,315.465161
2004-03-01,GO,157.690126
2004-03-01,MA,44.514215
2004-03-01,MG,1230.388646
2004-03-01,MS,58.569927
2004-03-01,MT,78.87191
2004-03-01,PA,110.893572
2004-03-01,PB,64.03241
2004-03-01,PE,400.068297
2004-03-01,PI,25.187867
2004-03-01,PR,954.937416
2004-03-01,RJ,3824.436073
2004-03-01,RN,44.813258
2004-03-01,RO,25.93927
2004-03-01,RR,5.399865
2004-03-01,RS,1006.364548
2004-03-01,SC,438.264173
2004-03-01,SE,33.977508
2004-03-01,SP,10907.627359
2004-03-01,TO,9.612772
2004-04-01,AC,8.243117
2004-04-01,AL,41.79427
2004-04-01,AM,271.676039
2004-04-01,AP,7.635654
2004-04-01,BA,431.336047
2004-04-01,CE,221.507766
2004-04-01,DF,2249.225394
2004-04-01,ES,335.44072
2004-04-01,GO,196.215448
2004-04-01,MA,97.503025
2004-04-01,MG,1254.756985
2004-04-01,MS,91.161112
2004-04-01,MT,99.045041
2004-04-01,PA,122.335302
2004-04-01,PB,61.841666
2004-04-01,PE,280.439562
2004-04-01,PI,32.811826
2004-04-01,PR,1173.267497
2004-04-01,RJ,5052.616461
2004-04-01,RN,60.233331
2004-04-01,RO,30.168155
2004-04-01,RR,10.315357
2004-04-01,RS,1382.417372
