ds,yhat
2004-01-01,29608.92525298677
2004-02-01,20572.23900441382
2004-03-01,22449.043279832847
2004-04-01,26149.74893243549
2004-05-01,22483.360576212544
2004-06-01,23859.598415077122
2004-07-01,25066.31980255621
2004-08-01,22775.259596614804
2004-09-01,23158.320770045022
2004-10-01,27473.806152410387
2004-11-01,25811.406367869928
2004-12-01,28398.70174917198
2005-01-01,34024.75591999505
2005-02-01,22119.913070510498
2005-03-01,25412.728252606852
2005-04-01,29916.648680195463
2005-05-01,25345.14359721048
2005-06-01,27248.94813855631
2005-07-01,28700.076137067463
2005-08-01,26005.98906129393
2005-09-01,26330.88950833525
2005-10-01,30931.930727941108
2005-11-01,29066.399869918896
2005-12-01,32033.28695420178
2006-01-01,38392.13647155546
2006-02-01,25487.72375026783
2006-03-01,28298.793425055403
2006-04-01,33688.41917518733
2006-05-01,28135.25205549646
2006-06-01,30663.47817516866
2006-07-01,32379.170707937417
2006-08-01,29265.2208601451
2006-09-01,29510.44284890274
2006-10-01,34337.8390316929
2006-11-01,32291.631500382104
2006-12-01,35659.35008911598
2007-01-01,42761.96531622997
2007-02-01,28980.838872694047
2007-03-01,31104.919149483525
2007-04-01,37463.7547320338
2007-05-01,30855.589652552386
2007-06-01,34106.10236632511
2007-07-01,36103.719925943085
2007-08-01,32551.82569701196
2007-09-01,32694.888050629666
2007-10-01,37690.13197252788
2007-11-01,35488.456958791605
2007-12-01,39278.82682362548
2008-01-01,47135.90304370089
2008-02-01,32598.901106400765
2008-03-01,35422.35357762724
2008-04-01,41078.63899255654
2008-05-01,35170.38242845355
2008-06-01,37163.91540777852
2008-07-01,38885.28961495529
2008-08-01,35186.00053139877
2008-09-01,35633.55720996609
2008-10-01,42111.84819815152
2008-11-01,39409.98815122649
2008-12-01,43200.2588311676
2009-01-01,51564.66701064477
2009-02-01,33399.44817005087
2009-03-01,38245.94241943405
2009-04-01,44864.14116821237
2009-05-01,37879.93795667322
2009-06-01,40690.32209437398
2009-07-01,42822.33666095082
2009-08-01,38770.53962233012
2009-09-01,39223.11676114061
2009-10-01,46119.18235385963
2009-11-01,43377.919133508614
2009-12-01,47847.6955684318
2010-01-01,57396.93723814011
2010-02-01,38137.88843416103
2010-03-01,42376.930445068334
2010-04-01,50490.21545649277
2010-05-01,42201.10923633675
2010-06-01,46030.49909693005
2010-07-01,48643.3499092274
2010-08-01,43999.499717451734
2010-09-01,44402.09790520139
2010-10-01,51703.02743394817
2010-11-01,48657.84301623106
2010-12-01,53770.02770624079
2011-01-01,64525.74149364232
2011-02-01,43761.205382843735
2011-03-01,46997.680364415304
2011-04-01,56643.6846207613
2011-05-01,46682.331466018775
2011-06-01,51633.74758107736
2011-07-01,54691.85090713618
2011-08-01,49342.30598378777
2011-09-01,49560.93486696052
2011-10-01,57134.98224063241
2011-11-01,53799.2981769266
2011-12-01,59547.33674131683
2012-01-01,71461.19178163892
2012-02-01,49371.08382664927
2012-03-01,53596.10696061875
2012-04-01,62091.998994142734
2012-05-01,53110.51009365993
2012-06-01,56029.766391093835
2012-07-01,58534.0395391205
2012-08-01,52881.72131552088
2012-09-01,53470.78067953544
2012-10-01,63097.73006089866
2012-11-01,58954.2468205295
2012-12-01,64524.66274528097
2013-01-01,76896.87007379904
2013-02-01,49730.35085026914
2013-03-01,56861.58495364859
2013-04-01,66592.20133755587
2013-05-01,56137.74782242744
2013-06-01,60051.326403195795
2013-07-01,62946.51712733663
2013-08-01,56759.10369432988
2013-09-01,57191.81485275057
2013-10-01,66877.42110049463
2013-11-01,62550.68009023008
2013-12-01,68628.60386020695
2014-01-01,81879.19183099008
2014-02-01,54115.1719838824
2014-03-01,59844.62822132926
2014-04-01,70932.98328818212
2014-05-01,58995.0618440213
2014-06-01,64025.012463909276
2014-07-01,67335.09493683373
2014-08-01,60609.64889165558
2014-09-01,60870.22215300315
2014-10-01,70553.9623270867
2014-11-01,66088.40369705953
2014-12-01,72706.47973145565
2015-01-01,86854.00481459525
2015-02-01,58640.563763187645
2015-03-01,62726.260612378486
2015-04-01,75271.08210807425
2015-05-01,61775.90900558108
2015-06-01,68038.57373527657
2015-07-01,71776.56233805369
2015-08-01,64488.68735185602
2015-09-01,64548.34206564039
2015-10-01,74164.60695451483
2015-11-01,69597.01363383105
2015-12-01,76782.33197305564
2016-01-01,91838.55766754584
2016-02-01,63308.844389781465
2016-03-01,68585.75374874257
2016-04-01,79285.57818418021
2016-05-01,67676.41731268371
2016-06-01,71291.2378058955
2016-07-01,74372.65526884804
2016-08-01,67094.02901267161
2016-09-01,67744.61628119308
2016-10-01,79832.18983225319
2016-11-01,74492.33851301337
2016-12-01,81428.83690749461
2017-01-01,96918.02231359809
2017-02-01,62598.84975983896
2017-03-01,71501.93828677578
2017-04-01,83643.66565890238
2017-05-01,70436.18279706486
2017-06-01,75263.35189505888
2017-07-01,78808.42753760035
2017-08-01,70985.77864972237
2017-09-01,71451.11254027486
2017-10-01,83466.64379451433
2017-11-01,77985.39913287232
2017-12-01,85477.71166711992
2018-01-01,101877.29362177647
2018-02-01,67264.07179344686
2018-03-01,74318.27140894446
2018-04-01,88000.79839116032
2018-05-01,73120.59564645225
2018-06-01,79277.40808928531
2018-07-01,83297.95143804354
2018-08-01,74906.21748099283
2018-09-01,75156.75095588737
2018-10-01,87033.887380259
2018-11-01,81449.13770969052
2018-12-01,89525.16440868044
2019-01-01,106847.20568283404
2019-02-01,72073.61121382129
2019-03-01,77032.42937235595
2019-04-01,92355.70822668272
2019-05-01,75732.42646030046
2019-06-01,83336.6289168766
2019-07-01,87840.91351069245
2019-08-01,78853.71735665824
2019-09-01,78859.02169980564
2019-10-01,90532.74372555519
2019-11-01,84885.48781135617
2019-12-01,93573.47524713763
